plan_id	cluster	main_kw	sub_kw	title
P26	休職	適応障害 休職	適応障害 休職 流れ|適応障害 休職 引き継ぎ|適応障害 休職 診断書	適応障害で休職する流れ｜診断書から引き継ぎまで
P27	休職	適応障害 休職 期間	適応障害 休職 1ヶ月|適応障害 休職 半年|適応障害 休職 延長	適応障害の休職期間はどれくらい？延長するときの判断
P28	休職	適応障害 休職 罪悪感	休職 罪悪感|休職 申し訳ない|鬱 休職 過ごし方	休職の罪悪感が消えないあなたへ｜休職中の過ごし方
P29	休職	休職 給料	休職 給料 割合|休職 給料 3分の2|休職 給料 もらえる	休職中の給料はどうなる？出る会社と出ない会社の差
P30	休職	鬱 休職 復帰	鬱 休職 転職|鬱 休職 退職|うつ 復職	うつで休職した後｜復帰・転職・退職の分かれ道
P31	休職	適応障害 休職 労災	休職 労災|パワハラ 労災	適応障害は労災になる？傷病手当金との違いと選び方
P32	手前	会社 行きたくない	出社拒否|仕事 涙が出る|会社 行きたくない 毎日	会社に行きたくないが続くとき｜受診の目安と休む手順
P33	手前	退職 貯金	退職 貯金 なし|退職 貯金 いくら|貯金 0 退職	貯金がなくても辞められる？退職後に入るお金の順番
P34	隣接	退職代行 デメリット	退職代行 流れ|退職代行 労働組合|退職代行 40代	退職代行のデメリットと流れ｜使う前に確認すること
P35	失業保険	失業保険 個人事業主	失業保険 役員|開業 失業保険|失業保険 起業	開業したら失業保険はもらえない？個人事業主・役員の扱い
P36	失業保険	失業保険 65歳以上	失業保険 年金|失業保険 定年退職|失業保険 自己都合 定年退職|高年齢求職者給付金	失業保険と年金は両方もらえる？65歳の境目と手続き
P37	失業保険	失業保険 職業訓練	失業保険 訓練校|職業訓練 給付制限|失業保険 自己都合 職業訓練	職業訓練で失業保険が延びる｜給付制限が解除される仕組み
P38	失業保険	失業保険 保育園	退職 保育園 継続|求職中 保育園|保育園 就労証明	退職しても保育園は続けられる？求職中の在園要件
P39	失業保険	失業保険 離職票	失業保険 300日|失業保険 満額|失業保険 2回目|失業保険 デメリット	失業保険の日数と満額｜離職票の見方と2回目の条件
P40	妊娠	出産手当金 扶養に入る	傷病手当金 妊娠|国民健康保険 減免 妊婦|住民税 退職後 妊婦|妊娠 退職 失業保険	妊娠で退職したときのお金｜出産手当金・扶養・失業保険の延長
P41	休職	鬱 休職	鬱 休職 診断書|うつ 休職 寝てばかり|うつ 休職 延長|うつ 休職 割合	うつで休職するとき｜診断書の取り方と休職中の過ごし方
P42	隣接	退職代行 後悔	退職代行 トラブル|退職代行 懲戒解雇|退職代行 使われた|退職代行 口コミ	退職代行で後悔する人｜トラブル事例と避け方
P43	手前	仕事 涙が出る	仕事 涙が止まらない|仕事 辛い 涙|仕事 ストレス 涙|仕事 キャパオーバー 涙	仕事で涙が止まらない｜限界のサインと受診の目安
P44	手続き	扶養に入る メリット	扶養に入るとは|扶養に入る 年金|扶養に入る 抜ける|扶養に入ると	退職後に扶養に入るメリットと落とし穴｜年金・保険はどうなる
